,x,y,z,line,p3_before,p3_after,p0_before,p0_after,p4_before,p4_after,p7_before,p7_after,speed
0,,,,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,22,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,,,,23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12.5,14.375,,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
4,12.5,14.375,-21.25,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
5,12.5,14.375,-21.25,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6,13.5,14.375,-21.25,27,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
7,17.5,14.375,-21.25,29,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
8,17.5,22.375,-21.25,30,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
9,17.5,24.375,-21.25,32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
10,17.5,24.375,-18.235,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
11,17.5,18.375,-18.235,34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
12,17.5,18.375,-18.235,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,17.5,18.375,-18.235,37,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,17.5,18.375,-18.235,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,17.5,18.375,-18.235,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,17.5,18.375,-18.235,42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,17.5,14.375,-18.235,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
18,17.5,14.375,-18.762625,45,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
19,17.5,14.375,-20.873125,47,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
20,17.5,22.375,-20.873125,48,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
21,17.5,24.375,-20.873125,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
22,17.5,24.375,-18.235,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
23,17.5,18.375,-18.235,52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
24,17.5,18.375,-18.235,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,17.5,18.375,-18.235,55,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,17.5,18.375,-18.235,57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,17.5,18.375,-18.235,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,17.5,18.375,-18.235,60,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,17.5,14.375,-18.235,62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
30,17.5,14.375,-18.68725,63,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
31,17.5,14.375,-20.49625,65,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
32,17.5,22.375,-20.49625,66,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
33,17.5,24.375,-20.49625,68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
34,17.5,24.375,-18.235,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
35,17.5,18.375,-18.235,70,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
36,17.5,18.375,-18.235,71,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,17.5,18.375,-18.235,73,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,17.5,18.375,-18.235,75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,17.5,18.375,-18.235,76,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,17.5,18.375,-18.235,78,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,17.5,14.375,-18.235,80,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
42,17.5,14.375,-17.5,81,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
43,17.5,14.375,-17.5,82,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
44,16.9,14.375,-17.5,83,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
45,14.5,14.375,-17.5,85,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
46,14.5,22.375,-17.5,86,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
47,14.5,24.375,-17.5,88,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
48,14.5,24.375,-14.485,89,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
49,14.5,18.375,-14.485,90,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
50,14.5,18.375,-14.485,91,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,14.5,18.375,-14.485,93,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,14.5,18.375,-14.485,95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,14.5,18.375,-14.485,96,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,14.5,18.375,-14.485,98,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,14.5,14.375,-14.485,100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
56,14.5,14.375,-15.012625,101,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
57,14.5,14.375,-17.123125,103,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
58,14.5,22.375,-17.123125,104,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
59,14.5,24.375,-17.123125,106,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
60,14.5,24.375,-14.485,107,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
61,14.5,18.375,-14.485,108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
62,14.5,18.375,-14.485,109,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,14.5,18.375,-14.485,111,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,14.5,18.375,-14.485,113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,14.5,18.375,-14.485,114,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,14.5,18.375,-14.485,116,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,14.5,14.375,-14.485,118,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
68,14.5,14.375,-14.93725,119,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
69,14.5,14.375,-16.74625,121,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
70,14.5,22.375,-16.74625,122,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
71,14.5,24.375,-16.74625,124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
72,14.5,24.375,-14.485,125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
73,14.5,18.375,-14.485,126,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
74,14.5,18.375,-14.485,127,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,14.5,18.375,-14.485,129,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,14.5,18.375,-14.485,131,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,14.5,18.375,-14.485,132,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78,14.5,18.375,-14.485,134,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,14.5,14.375,-14.485,136,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
80,14.5,14.375,-13.750000000000002,137,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
81,14.5,14.375,-13.750000000000002,138,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
82,13.9,14.375,-13.750000000000002,139,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
83,11.500000000000002,14.375,-13.750000000000002,141,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
84,11.500000000000002,22.375,-13.750000000000002,142,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
85,11.500000000000002,24.375,-13.750000000000002,144,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
86,11.500000000000002,24.375,-10.735000000000003,145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
87,11.500000000000002,18.375,-10.735000000000003,146,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
88,11.500000000000002,18.375,-10.735000000000003,147,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,11.500000000000002,18.375,-10.735000000000003,149,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90,11.500000000000002,18.375,-10.735000000000003,151,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,11.500000000000002,18.375,-10.735000000000003,152,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92,11.500000000000002,18.375,-10.735000000000003,154,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,11.500000000000002,14.375,-10.735000000000003,156,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
94,11.500000000000002,14.375,-11.262625000000002,157,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
95,11.500000000000002,14.375,-13.373125000000002,159,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
96,11.500000000000002,22.375,-13.373125000000002,160,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
97,11.500000000000002,24.375,-13.373125000000002,162,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
98,11.500000000000002,24.375,-10.735000000000003,163,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
99,11.500000000000002,18.375,-10.735000000000003,164,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
100,11.500000000000002,18.375,-10.735000000000003,165,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101,11.500000000000002,18.375,-10.735000000000003,167,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
102,11.500000000000002,18.375,-10.735000000000003,169,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,11.500000000000002,18.375,-10.735000000000003,170,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,11.500000000000002,18.375,-10.735000000000003,172,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,11.500000000000002,14.375,-10.735000000000003,174,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
106,11.500000000000002,14.375,-11.187250000000002,175,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
107,11.500000000000002,14.375,-12.996250000000002,177,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
108,11.500000000000002,22.375,-12.996250000000002,178,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
109,11.500000000000002,24.375,-12.996250000000002,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
110,11.500000000000002,24.375,-10.735000000000003,181,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
111,11.500000000000002,18.375,-10.735000000000003,182,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
112,11.500000000000002,18.375,-10.735000000000003,183,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,11.500000000000002,18.375,-10.735000000000003,185,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114,11.500000000000002,18.375,-10.735000000000003,187,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,11.500000000000002,18.375,-10.735000000000003,188,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
116,11.500000000000002,18.375,-10.735000000000003,190,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
117,11.500000000000002,14.375,-10.735000000000003,192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
118,11.500000000000002,14.375,-10.0,193,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
119,11.500000000000002,14.375,-10.0,194,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
120,10.9,14.375,-10.0,195,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
121,8.5,14.375,-10.0,197,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
122,8.5,22.375,-10.0,198,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
