,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,15.0,14.375,,0,0,0,0,20.0
1,15.0,14.375,-12.5,0,0,0,1,20.0
2,15.0,24.375,-12.5,0,0,1,1,10.0
3,15.376875,24.375,-12.5,0,0,1,1,10.0
4,15.376875,14.375,-12.5,0,0,1,1,10.0
5,17.5,14.375,-12.5,0,0,1,1,10.0
6,17.5,24.375,-12.5,0,0,1,1,10.0
7,17.876875,24.375,-12.5,0,0,1,1,10.0
8,17.876875,14.375,-12.5,0,0,1,1,10.0
9,20.0,14.375,-12.5,0,0,1,1,10.0
10,20.0,24.375,-12.5,0,0,1,1,10.0
11,20.376875,24.375,-12.5,0,0,1,1,10.0
12,20.376875,14.375,-12.5,0,0,1,0,10.0
13,20.376875,14.375,-12.123125,0,0,0,0,10.0
14,22.5,15.625,-12.123125,0,0,0,0,20.0
15,22.5,15.625,-12.123125,0,0,0,1,20.0
16,13.75,15.625,-12.123125,0,0,1,1,10.0
17,13.75,18.125,-12.123125,0,0,1,1,10.0
18,22.5,18.125,-12.123125,0,0,1,1,10.0
19,22.5,20.625,-12.123125,0,0,1,1,10.0
20,13.75,20.625,-12.123125,0,0,1,1,10.0
21,13.75,23.125,-12.123125,0,0,1,1,10.0
22,22.5,23.125,-12.123125,0,0,1,0,10.0
23,22.5,23.125,10.0,0,0,0,0,20.0
